1,Polska,P³ock,Dêbinki,90
2,Polska,Tarnów,Koszaliñska,152
3,Polska,Gdañsk,Kolonia Postêp,276
4,Polska,Gdañsk,Secesyjna,14
5,Polska,Gdañsk,aleja Rzeczypospolitej,75
6,Polska,Gdañsk,Gabriela Narutowicza,244
7,Polska,Gdañsk,Lisia Grobla,329
8,Polska,Gdañsk,Ma³oogrodowa,234
9,Polska,Gdañsk,Kolonia Zrêby,305
10,Polska,Gdañsk,Tokarska,318
11,Polska,Tr¹bki,Dzielna,7
12,Polska,Gdañsk,Stefana Drzewieckiego,122
13,Polska,Suwa³ki,Stary Rynek Oliwski,366
14,Polska,Gdañsk,Platynowa,158
15,Polska,Bydgoszcz,BliŸni¹t,362
16,Polska,Gdañsk,Gdyñska,352
17,Polska,Gdañsk,G³ucha,243
18,Polska,Gdañsk,Wartka,288
19,Polska,Opole,Gêsia,29
20,Polska,Gdañsk,Kwidzyñska,152
21,Polska,Bielsko-Bia³a,Wêgorzowa,166
22,Polska,Gdañsk,Ko³odziejska,397
23,Polska,Gdañsk,Pana Tadeusza,270
24,Polska,Gdañsk,Kazimierza Leskiego,74
25,Polska,Gdañsk,kpt. Konstantego Maciejewicza,164
26,Polska,Gdañsk,Rycerza Blizbora,223
27,Polska,Reda,Mariana Smoluchowskiego,296
28,Polska,Gdañsk,Wojciecha Kêtrzyñskiego,54
29,Polska,Gdañsk,Wawelska,363
30,Polska,Gdañsk,Ho³du Pruskiego,309
31,Polska,Gdañsk,Po³ê¿e,190
32,Polska,£ódŸ,Prze³om,198
33,Polska,Gdañsk,Plac Genera³a Stanis³awa Maczka,313
34,Polska,Koszalin,Sokola,223
35,Polska,Gdañsk,Reduta Wilk,155
36,Polska,Gdañsk,Junacka,245
37,Polska,Gdañsk,Mariusza Zaruskiego,65
38,Polska,Gdañsk,Partyzantów,194
39,Polska,Gdañsk,Grobla III,294
40,Polska,Gdañsk,Pok³adowa,390
41,Polska,Gdañsk,Czopowa,170
42,Polska,Gdañsk,Skarpowa,202
43,Polska,Gdañsk,Salwator,249
44,Polska,Rumia,Po³udniowa,353
45,Polska,Gdañsk,Dolne M³yny,341
46,Polska,Gdynia,Niezapominajek,333
47,Polska,Gdañsk,Stefana Drzewieckiego,187
48,Polska,Gdañsk,Pod Zrêbem,294
49,Polska,Gdañsk,Sianowska,33
50,Polska,Gdañsk,Fundamentowa,203
51,Polska,Zabrze,Wroc³awska,15
52,Polska,Lublin,Okopowa,4
53,Polska,Gdañsk,Batalionów Ch³opskich,172
54,Polska,Gdañsk,Przêdzalnicza,227
55,Polska,Bytom,Kolonia Mysia,70
56,Polska,Gdañsk,Ryszarda Wagnera,13
57,Polska,Szczecin,Heleny,109
58,Polska,Gdañsk,K³adki,126
59,Polska,Szczecin,Przytulna,312
60,Polska,Wejherowo,Plac Najœwiêtszej Maryi Panny,195
61,Polska,Lublin,Aleja marsz. Józefa Pi³sudskiego,398
62,Polska,Gdañsk,Tadeusza Browicza,111
63,Polska,Gdañsk,Myœliwska,321
64,Polska,Gdañsk,Rosiczki,212
65,Polska,Gdañsk,Prometeusza,335
66,Litwa,Gdañsk,K³osowa,13
67,Polska,Gdañsk,Czêstochowska,274
68,Polska,Gdynia,Poleska,16
69,Polska,Gdañsk,Antoniego Dobrowolskiego,14
70,Polska,Gdañsk,Piastowska,121
71,Polska,Gdañsk,Wolnoœci,58
72,Polska,Gdañsk,Jelitkowski Dwór,197
73,Polska,Gdañsk,Jasia i Ma³gosi,42
74,Polska,Tr¹bki,Olszyñska,370
75,Polska,Rumia,Miedziana,138
76,Polska,Gdañsk,Wilcza,311
77,Polska,Zabrze,Podleœna,268
78,Polska,Gdañsk,Profesor Mariana Raciborskiego,389
79,Polska,Gdañsk,Cienista,286
80,Polska,Gdañsk,Osadników Wojskowych,25
81,Ukraina,Gdañsk,Szklary,363
82,Polska,Gdañsk,Podkarpacka,260
83,Polska,Gdañsk,Sztormowa,53
84,Polska,Gdañsk,Feliksa Muzyka,90
85,Polska,Gdañsk,Rybaki Górne,282
86,Polska,Gdañsk,Marcowa,37
87,Polska,Gdañsk,Kazimierza Tetmajera,360
88,Polska,Gdañsk,Spadochroniarzy,294
89,Polska,Gdañsk,Podstoczna,324
90,Polska,Gdañsk,Wróbla,381
91,Polska,Zabrze,Wac³awa Balcerskiego,374
92,Polska,Gdañsk,Grodza Kamienna,222
93,Polska,Gdañsk,Genera³a Antoniego Gie³guda,292
94,Polska,Gdañsk,Zacna,323
95,Polska,Gdañsk,Jana Ba¿yñskiego,121
96,Polska,Warszawa,Aleksandra Gryglewskiego,303
97,Polska,Gdañsk,G³êboka,319
98,Polska,Gdañsk,Toruñska,317
99,Polska,Warszawa,Jaœminowa,267
100,Polska,Gdañsk,Wie¿ycka,263
101,Polska,Gdañsk,Gradowa,90
